Year,Central government personal income tax rates and thresholds: Personal allowance,Belgium,Czechia,Denmark,Estonia,Greece,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: Tax credit,Czechia,Denmark,Greece,Iceland,Ireland,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: Surtax rate,Belgium,Denmark,Greece,Ireland,Luxembourg,Central government personal income tax rates and thresholds: 01 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 01 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 02 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 02 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Israel,Latvia,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 03 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Israel,Latvia,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 03 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 04 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 04 Threshold,Belgium,Chile,Colombia,Costa Rica,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 05 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 05 Threshold,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 06 Marginal rate,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 06 Threshold,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 07 Marginal rate,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 07 Threshold,Chile,Greece,Luxembourg,Central government personal income tax rates and thresholds: 08 Marginal rate,Chile,Greece,Luxembourg,Central government personal income tax rates and thresholds: 08 Threshold,Greece,Luxembourg,Central government personal income tax rates and thresholds: 09 Marginal rate,Greece,Luxembourg,Central government personal income tax rates and thresholds: 09 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 10 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 10 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 11 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 11 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 12 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 12 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 13 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 13 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 14 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 14 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 15 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 15 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 16 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 16 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 17 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 17 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 18 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 18 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 19 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 19 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 20 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 20 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 21 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 21 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 22 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 22 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 23 Marginal rate,Luxembourg
2010,,6430.0,,,1728.0,,598.0,1633.46,1416.0,4026.0,,24840.0,1574.0,,530466.0,1830.0,5535.0,300.0,157.04,,,8.0,,6.0,2.5,,25.0,0.0,0.0,0.0,15.0,3.67,21.0,0.0,0.0,17.0,24.1,20.0,10.0,26.0,15.0,0.0,19.0,,7900.0,6092010.0,26765000.0,7428000.0,,389900.0,15200.0,12000.0,5000000.0,2400000.0,36400.0,57240.0,,,11265.0,,,30.0,5.0,19.0,10.0,,18.67,6.5,18.0,32.0,27.0,41.0,14.0,,,8.0,,,11240.0,13537800.0,41744000.0,11148000.0,,,22600.0,16000.0,,7800000.0,101640.0,,13173.0,,,40.0,10.0,28.0,15.0,,,17.5,24.0,,33.0,23.0,,10.0,,,18730.0,22563000.0,100676000.0,,,36800.0,22000.0,152640.0,15081.0,,,45.0,15.0,33.0,,,21.5,26.0,30.0,12.0,,,34330.0,31588200.0,,,66400.0,26000.0,219000.0,16989.0,,,50.0,25.0,,,30.0,32.0,33.0,14.0,,,,40613400.0,,,32000.0,472080.0,18897.0,,,,32.0,,,36.0,45.0,16.0,,,,54151200.0,,,40000.0,,20805.0,,,,37.0,,,38.0,,18.0,,,67689000.0,60000.0,22713.0,,40.0,40.0,20.0,,100000.0,24621.0,,45.0,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2011,,6570.0,,,1728.0,,768.0,1633.46,1416.0,3559.0,,23640.0,1562.0,,530466.0,1650.0,5643.0,300.0,50.34,,,8.0,4.0,7.0,6.0,,25.0,0.0,0.0,0.0,15.0,3.64,21.0,0.0,0.0,16.0,22.9,20.0,10.0,25.0,15.0,0.0,19.0,,8070.0,6321402.0,27394000.0,7812000.0,,389900.0,15600.0,5000.0,,2512800.0,32800.0,60840.0,,,11265.0,,,30.0,5.0,19.0,10.0,,18.64,6.5,10.0,,25.8,41.0,14.0,,,8.0,,,11480.0,14047560.0,42724000.0,11724000.0,,,23200.0,12000.0,,8166600.0,103920.0,,13173.0,,,40.0,10.0,28.0,15.0,,,17.5,18.0,,31.8,23.0,,10.0,,,19130.0,23412600.0,103041000.0,,,37800.0,16000.0,168840.0,15081.0,,,45.0,15.0,33.0,,,21.5,25.0,30.0,12.0,,,35060.0,32777640.0,,,68200.0,26000.0,254880.0,16989.0,,,50.0,25.0,,,30.0,35.0,33.0,14.0,,,,42412680.0,,,40000.0,482760.0,18897.0,,,,32.0,,,38.0,45.0,16.0,,,,56190240.0,,,60000.0,,20805.0,,,,37.0,,,40.0,,18.0,,,70237800.0,100000.0,22713.0,,40.0,45.0,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,,,,,,,,,,,,,,,,,,,
2012,,6800.0,,,1728.0,,768.0,1633.46,1416.0,3644.74,,24840.0,1990.56,,558385.0,1650.0,5805.0,300.0,46.4,,,8.0,4.0,7.0,6.0,,25.0,0.0,0.0,0.0,15.0,4.65,21.0,0.0,0.0,16.0,22.9,20.0,10.0,25.0,15.0,0.0,19.0,,8350.0,6513372.0,28393000.0,8220000.0,,389900.0,16100.0,5000.0,,2760000.0,32800.0,62400.0,,,11265.0,,,30.0,5.0,19.0,10.0,,19.65,6.5,10.0,,25.8,41.0,14.0,,,8.0,,,11890.0,14474160.0,44283000.0,12336000.0,,,23900.0,12000.0,,8452400.0,106560.0,,13173.0,,,40.0,10.0,28.0,15.0,,,17.5,18.0,,31.8,21.0,,10.0,,,19810.0,24123600.0,106801000.0,,,39100.0,16000.0,173160.0,15081.0,,,45.0,15.0,33.0,,,21.5,25.0,30.0,12.0,,,36300.0,33773040.0,,,70300.0,26000.0,261360.0,16989.0,,,50.0,25.0,,,29.75,35.0,33.0,14.0,,,,43422480.0,,,40000.0,501960.0,18897.0,,,,32.0,,,38.0,48.0,16.0,,,,57896640.0,,,60000.0,,20805.0,,,,37.0,,,40.0,,18.0,,,72370800.0,100000.0,22713.0,,40.0,45.0,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,,,,,,,,,,,,,,,,,,,
2013,,6990.0,,,1728.0,,768.0,1633.46,1020.0,3735.94,,24840.0,2448.6,,581820.0,1650.0,5886.0,300.0,42.98,,,8.0,4.0,7.0,6.0,,25.0,0.0,0.0,0.0,15.0,5.83,21.0,0.0,22.0,16.0,22.9,20.0,10.0,24.0,15.0,0.0,19.0,,8590.0,6605064.0,29257000.0,8568000.0,,421000.0,16100.0,25000.0,,2897700.0,32800.0,63360.0,,,11265.0,34401.74,,30.0,4.0,19.0,10.0,,20.83,6.5,32.0,,25.8,41.0,14.0,,,8.0,25.0,,12220.0,14677920.0,45630000.0,12852000.0,,,23900.0,42000.0,,8874108.0,108120.0,,13173.0,,,40.0,8.0,28.0,15.0,,,17.5,42.0,,31.8,21.0,,10.0,,,20370.0,24463200.0,110048000.0,,,39100.0,,168000.0,15081.0,,,45.0,13.5,33.0,,,21.5,,31.0,12.0,,,37330.0,34248480.0,,,70300.0,,240000.0,16989.0,,,50.0,23.0,,,29.75,,34.0,14.0,,,,44033760.0,,100000.0,,501960.0,18897.0,,,,30.4,,31.75,,48.0,16.0,,,,58711680.0,,,,811560.0,20805.0,,,,35.5,,,,50.0,18.0,,,73389600.0,,22713.0,,40.0,,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,100000.0,,40.0,,,,,,,,,,,,,,,,
2014,,7070.0,,,1728.0,,900.0,1981.0,1020.0,3803.33,,24840.0,2923.24,,605976.0,1650.0,5886.0,300.0,27.6,,,8.0,4.0,7.0,7.0,,25.0,0.0,0.0,0.0,15.0,6.83,21.0,0.0,22.0,16.0,22.86,20.0,10.0,24.0,15.0,0.0,19.0,,8680.0,69998076.0,29959000.0,9024000.0,,449100.0,16300.0,25000.0,,3480000.0,32800.0,63360.0,,,11265.0,35022.312,,30.0,4.0,19.0,10.0,,21.83,6.5,32.0,,25.3,41.0,14.0,,,8.0,25.0,,12360.0,15551208.0,46725000.0,13536000.0,,,24300.0,42000.0,,9415428.0,108120.0,,13173.0,,,40.0,8.0,28.0,15.0,,,17.5,42.0,,31.8,21.0,,10.0,,,20600.0,25918800.0,112689000.0,,,39700.0,,168000.0,15081.0,,,45.0,13.5,33.0,,,21.5,,31.0,12.0,,,37750.0,36286320.0,,,71400.0,,240000.0,16989.0,,,50.0,23.0,,,29.75,,34.0,14.0,,,,46653840.0,,100000.0,,501960.0,18897.0,,,,30.4,,31.75,,48.0,16.0,,,,62205120.0,,,,811560.0,20805.0,,,,35.5,,,,50.0,18.0,,,77756400.0,,22713.0,,40.0,,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,100000.0,,40.0,,,,,,,,,,,,,,,,
2015,,7090.0,,,1848.0,,900.0,192.0,1020.0,3803.33,,24840.0,3506.72,,610824.0,1650.0,5886.0,300.0,,,,8.0,8.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,8.08,20.0,0.0,22.0,16.0,22.86,20.0,10.0,23.0,15.0,0.0,19.0,,8710.0,7282710.0,30824000.0,9516000.0,,459200.0,16500.0,25000.0,,3709680.0,33800.0,63240.0,,,11265.0,35022.312,,30.0,4.0,19.0,10.0,,23.08,6.5,32.0,,25.3,40.0,14.0,,,8.0,25.0,,12400.0,16183800.0,48074000.0,14282000.0,,,24700.0,42000.0,,10036847.0,108000.0,,13173.0,,,40.0,8.0,28.0,15.0,,,17.5,42.0,,31.8,21.0,,10.0,,,20660.0,26973000.0,115944000.0,,,40300.0,,167880.0,15081.0,,,45.0,13.5,33.0,,,21.5,,31.0,12.0,,,37870.0,37762200.0,,,71400.0,,239760.0,16989.0,,,50.0,23.0,,,29.75,,34.0,14.0,,,,48551400.0,,90000.0,,501480.0,18897.0,,,,30.4,,31.75,,48.0,16.0,,,,64735200.0,,,,810720.0,20805.0,,,,35.5,,,,50.0,18.0,,,80919000.0,,22713.0,,40.0,,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,100000.0,,40.0,,,,,,,,,,,,,,,,
2016,,7130.0,,,2040.0,,900.0,2400.0,1020.0,3803.33,,24840.0,3995.2,,623042.0,1650.0,5832.0,300.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,9.08,20.0,0.0,22.0,15.0,22.68,20.0,10.0,23.0,15.0,0.0,19.0,,10860.0,7481646.01,32431000.0,9444000.0,,467300.0,16700.0,20000.0,,4032420.0,33800.0,63640.0,,,11265.0,35022.312,,30.0,4.0,19.0,10.0,,24.08,6.5,29.0,,23.9,40.0,14.0,,,8.0,25.0,,12470.0,16625880.01,50580000.0,14172000.0,,,25000.0,30000.0,,10043880.0,107040.0,,13173.0,,,40.0,8.0,28.0,15.0,,,17.5,37.0,,31.8,21.0,,10.0,,,20760.0,27709800.01,121987000.0,,,40800.0,40000.0,166320.0,15081.0,,,45.0,13.5,33.0,,,21.5,45.0,31.0,12.0,,,38080.0,38793720.01,,,72300.0,,237600.0,16989.0,,,50.0,23.0,,,31.75,,34.0,14.0,,,,49877640.01,,,,496920.0,18897.0,,,,30.4,,,,48.0,16.0,,,,66503520.01,,,,803520.0,20805.0,,,,35.5,,,,50.0,18.0,,,83129400.01,,22713.0,,40.0,,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,41793.0,,39.0,,100000.0,,40.0,,,,,,,,,,,,,,,,
2017,,7270.0,,,2160.0,,720.0,3720.0,1020.0,3803.33,,24840.0,4536.0,,634880.0,1650.0,5805.0,600.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,10.08,20.0,0.0,22.0,15.0,22.5,20.0,10.0,23.0,15.0,0.0,19.0,,11070.0,7609464.0,34726000.0,9504000.0,,479600.0,16900.0,20000.0,,10016488.0,33800.0,74640.0,,,11265.0,35022.312,,30.0,4.0,19.0,10.0,,25.08,6.25,29.0,,31.8,40.0,14.0,,,8.0,25.0,,12720.0,16909920.0,54160000.0,14256000.0,,,25300.0,30000.0,,,107040.0,,13137.0,,,40.0,8.0,28.0,15.0,,,17.5,37.0,,,20.0,,9.0,,,21190.0,28183200.0,130622000.0,,,41200.0,40000.0,171840.0,15009.0,,,45.0,13.5,33.0,,,21.5,45.0,31.0,10.0,,,38830.0,39456480.0,,,73100.0,,238800.0,16881.0,,,50.0,23.0,,,31.5,,35.0,11.0,,,,50729760.0,,,,496920.0,18753.0,,,,30.4,,,,47.0,12.0,,,,67639680.0,,,,640000.0,20625.0,,,,35.5,,,,50.0,14.0,,,,,22569.0,,,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
2018,,7430.0,,,6000.0,,720.0,4560.0,1020.0,3830.02,,24840.0,5119.8,,646739.0,1650.0,5832.0,600.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,11.13,20.0,0.0,22.0,15.0,22.5,20.0,10.0,23.0,15.0,0.0,19.0,,9120.0,7833186.0,36140000.0,9588000.0,,498900.0,17200.0,20000.0,,10724553.0,34550.0,74880.0,,,11265.0,35268.064,,30.0,4.0,19.0,10.0,,26.13,6.0,29.0,,31.8,40.0,14.0,,,8.0,25.0,,12990.0,17407080.0,56365000.0,14388000.0,,,25700.0,30000.0,,,107400.0,,13137.0,,,40.0,8.0,28.0,15.0,,,17.25,37.0,,,20.0,,9.0,,,21640.0,29011800.0,135940000.0,,,42400.0,40000.0,173280.0,15009.0,,,45.0,13.5,33.0,,,21.25,45.0,31.0,10.0,,,39660.0,40616520.0,,,74200.0,,239520.0,16881.0,,,50.0,23.0,,,31.25,,35.0,11.0,,,,52221240.0,,,,498360.0,18753.0,,,,30.4,,,,47.0,12.0,,,,69628320.0,,,,641880.0,20625.0,,,,35.5,,,,50.0,14.0,,,,,22569.0,,,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
2019,,8860.0,,,6000.0,,2760.0,3600.0,1020.0,3937.35,,24840.0,5617.92,,677358.0,1650.0,5886.0,600.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,12.16,20.0,0.0,22.0,15.0,22.5,20.0,10.0,20.0,20.0,0.0,19.0,,9310.0,8038926.0,37345000.0,9588000.0,,513400.0,17600.0,20000.0,,11125045.0,35300.0,75720.0,20004.0,136344.0,11265.0,36256.376,,30.0,4.0,19.0,10.0,,27.16,6.0,29.0,,31.8,40.0,14.0,23.0,27.0,8.0,25.0,,13250.0,17864280.0,58259000.0,14388000.0,,,26400.0,30000.0,,,108600.0,62800.0,13137.0,,,40.0,8.0,28.0,15.0,,,17.25,37.0,,,20.0,31.4,9.0,,,22080.0,29773800.0,140507000.0,25236000.0,,43500.0,40000.0,174360.0,15009.0,,,45.0,13.5,33.0,20.0,,21.25,45.0,31.0,10.0,,,40480.0,41683320.0,297121000.0,50460000.0,76100.0,,242400.0,16881.0,,,50.0,23.0,35.0,25.0,31.25,,35.0,11.0,,,,53592840.0,650102000.0,,,504360.0,18753.0,,,,30.4,37.0,,,47.0,12.0,,,,71457120.0,1062370000.0,,,649560.0,20625.0,,,,35.0,39.0,,,50.0,14.0,,,,,22569.0,,,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
2020,,8890.0,,,6000.0,,3600.0,4800.0,1020.0,4414.2,,24840.0,5631.15,,655538.0,1650.0,5913.0,600.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,12.11,20.0,0.0,9.0,15.0,20.6,20.0,10.0,20.0,20.0,0.0,19.0,,13440.0,8266698.0,38812000.0,10080000.0,,531000.0,18100.0,10000.0,,4042992.0,39300.0,75960.0,20004.0,104278.0,11265.0,37163.36,,40.0,4.0,19.0,10.0,,27.11,6.0,22.0,,22.75,40.0,14.0,23.0,32.0,8.0,25.0,,23720.0,18370440.0,60532000.0,13476000.0,,,27200.0,20000.0,,11350476.0,108960.0,62800.0,13137.0,,,45.0,8.0,28.0,15.0,,,17.25,28.0,,31.8,20.0,31.4,9.0,,,41060.0,30617400.0,145989000.0,25956000.0,,44800.0,30000.0,174960.0,15009.0,,,50.0,13.5,33.0,20.0,,21.25,36.0,31.0,10.0,,,,42864360.0,308713000.0,51900000.0,78500.0,40000.0,243120.0,16881.0,,,,23.0,35.0,25.0,31.25,44.0,35.0,11.0,,,,55111320.0,675465000.0,,,505920.0,18753.0,,,,30.4,37.0,,,47.0,12.0,,,,73481760.0,1103817000.0,,,651600.0,20625.0,,,,35.0,39.0,,,50.0,14.0,,,,,22569.0,,,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
2021,,9050.0,,,6000.0,,3600.0,4800.0,1020.0,4511.43,,27840.0,5646.03,,609509.0,1650.0,5886.0,696.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,12.09,20.0,0.0,9.0,15.0,17.0,20.0,10.0,20.0,20.0,0.0,19.0,,13540.0,8775702.0,39576000.0,10104000.0,1701168.0,544800.0,18600.0,10000.0,,4188216.0,35300.0,75480.0,20004.0,81162.0,11265.0,37981.94,,40.0,4.0,19.0,10.0,23.0,27.09,6.0,22.0,,23.5,40.0,14.0,23.0,32.0,8.0,25.0,,23900.0,19501560.0,61724000.0,14832000.0,,,27900.0,20000.0,,11758164.0,108360.0,62800.0,13137.0,,,45.0,8.0,28.0,15.0,,,17.25,28.0,,31.8,20.0,31.0,9.0,,,41360.0,32502600.0,148863000.0,26028000.0,,45900.0,30000.0,173880.0,15009.0,,,50.0,13.5,33.0,20.0,,21.25,36.0,31.0,10.0,,,,45503640.0,314790000.0,52044000.0,80500.0,40000.0,241680.0,16881.0,,,,23.0,35.0,25.0,31.25,44.0,35.0,11.0,,,,58504680.0,688763000.0,,,502920.0,18753.0,,,,30.4,37.0,,,47.0,12.0,,,,78006240.0,1125548000.0,,,647640.0,20625.0,,,,35.0,39.0,,,50.0,14.0,,,201516120.0,,22569.0,,40.0,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
2022,,9270.0,,,6000.0,,5100.0,6480.0,1020.0,4579.26,,30840.0,5633.94,777.0,646993.0,1700.0,6021.0,696.0,,,,8.0,10.0,8.0,7.0,,25.0,0.0,0.0,0.0,15.0,12.09,20.0,0.0,9.0,15.0,17.0,20.0,10.0,20.0,20.0,0.0,19.0,,13870.0,9436176.0,41424000.0,10356000.0,1867728.0,552500.0,19200.0,10000.0,,4445784.0,36800.0,77400.0,20004.0,90246.0,11265.0,38553.01,,40.0,4.0,19.0,10.0,23.0,27.09,6.0,22.0,,23.5,40.0,14.0,23.0,32.0,8.0,25.0,,24480.0,20969280.0,64607000.0,15204000.0,,,28700.0,20000.0,,12481272.0,110880.0,78100.0,13137.0,,,45.0,8.0,28.0,15.0,,,17.25,28.0,,31.8,20.0,31.0,9.0,,,42370.0,34948800.0,155816000.0,26676000.0,,47300.0,30000.0,178080.0,15009.0,,,50.0,13.5,33.0,20.0,,21.25,36.0,31.0,10.0,,,,48928320.0,329495000.0,53340000.0,82900.0,40000.0,247440.0,16881.0,,,,23.0,35.0,25.0,31.25,44.0,35.0,11.0,,,,62907840.0,720936000.0,,,514920.0,18753.0,,,,30.4,37.0,,,47.0,12.0,,,,83877120.0,1178124000.0,,,663240.0,20625.0,,,,35.0,39.0,,,50.0,14.0,,,216682560.0,,22569.0,,40.0,,16.0,,,24513.0,,,18.0,,26457.0,,20.0,,28401.0,,22.0,,30345.0,,24.0,,32289.0,,26.0,,34233.0,,28.0,,36177.0,,30.0,,38121.0,,32.0,,40065.0,,34.0,,42009.0,,36.0,,43953.0,,38.0,,45897.0,,39.0,,100002.0,,40.0,,150000.0,,41.0,,200004.0,,42.0
